City_ID,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,Port Macquarie,AU,-31.4333,152.9167,63.9,62,59,8.9,broken clouds
167,Saint George,US,37.1041,-113.5841,80.94,32,0,7.0,clear sky
168,Plettenberg Bay,ZA,-34.0527,23.3716,57.36,84,22,3.83,few clouds
169,Pangnirtung,CA,66.1451,-65.7125,29.8,49,0,4.0,clear sky
170,Berbera,SO,10.4396,45.0143,88.5,61,27,2.06,scattered clouds
171,Kieta,PG,-6.2167,155.6333,83.71,69,14,3.94,light rain
172,Troitsko-Pechorsk,RU,62.7084,56.1964,41.47,91,100,8.12,overcast clouds
173,Tuni,IN,17.35,82.55,80.64,81,100,1.28,overcast clouds
174,Viesca,MX,25.35,-102.8,72.48,42,100,8.23,overcast clouds
175,Moose Factory,CA,51.2585,-80.6094,32.0,93,0,4.61,clear sky
176,Egvekinot,RU,66.3167,-179.1667,28.04,75,98,4.79,overcast clouds
177,Ilulissat,GL,69.2167,-51.1,30.22,74,99,0.0,overcast clouds
178,Kenai,US,60.5544,-151.2583,49.03,81,100,4.61,overcast clouds
179,Airai,TL,-8.9266,125.4092,72.61,68,59,2.04,broken clouds
180,Sorland,NO,67.667,12.6934,49.86,73,97,9.64,overcast clouds
181,Kaitangata,NZ,-46.2817,169.8464,53.8,65,54,7.05,broken clouds
182,Alexander City,US,32.944,-85.9539,64.18,59,0,3.44,clear sky
183,Chuy,UY,-33.6971,-53.4616,52.52,93,79,2.59,broken clouds
184,Mahebourg,MU,-20.4081,57.7,73.26,60,75,10.36,broken clouds
185,Belaya Gora,RU,68.5333,146.4167,27.61,67,98,4.05,overcast clouds
186,Easton,US,40.6884,-75.2207,58.17,83,100,11.5,overcast clouds
187,Avarua,CK,-21.2078,-159.775,73.45,60,20,13.8,few clouds
188,Kushima,JP,31.4583,131.2333,81.09,59,12,8.23,few clouds
189,Shiloh,US,38.5614,-89.8973,61.09,62,0,4.61,clear sky
190,Richards Bay,ZA,-28.783,32.0377,69.01,82,100,7.56,overcast clouds
191,Shimoda,JP,34.6667,138.95,79.16,57,30,10.56,scattered clouds
192,Maceio,BR,-9.6658,-35.7353,71.04,88,0,3.44,clear sky
193,Hami,CN,42.8,93.45,50.54,16,95,6.69,overcast clouds
194,Axim,GH,4.8699,-2.2405,74.89,92,71,6.55,light rain
195,Meghri,AM,38.9029,46.2446,64.67,45,2,3.11,clear sky
196,Sile,TR,41.1754,29.6133,83.07,54,100,8.99,overcast clouds
197,Belmonte,BR,-15.8631,-38.8828,73.27,88,83,8.05,broken clouds
198,Burns Lake,CA,54.2331,-125.7533,65.62,57,33,6.64,scattered clouds
199,Ruwi,OM,23.5996,58.5507,87.49,58,0,1.01,clear sky
200,Aykhal,RU,66.0,111.5,24.85,91,100,15.3,overcast clouds
201,Koppies,ZA,-27.2418,27.5742,62.1,32,20,5.21,few clouds
202,Hofn,IS,64.2539,-15.2082,47.01,83,100,7.45,overcast clouds
203,Dasoguz,TM,41.8363,59.9666,46.35,36,0,9.22,clear sky
204,Ca Mau,VN,9.1769,105.15,78.98,88,100,5.1,overcast clouds
205,Sambava,MG,-14.2667,50.1667,70.59,73,76,10.22,broken clouds
206,Yeppoon,AU,-23.1333,150.7333,76.78,70,85,11.01,overcast clouds
207,Coloncito,VE,8.3256,-72.0895,75.79,77,76,2.77,broken clouds
208,Ahuimanu,US,21.4447,-157.8378,83.91,67,0,11.5,light rain
209,Zalantun,CN,48.0,122.7167,53.08,72,100,11.77,moderate rain
210,Qasigiannguit,GL,68.8193,-51.1922,30.45,82,100,4.07,overcast clouds
211,Wattegama,LK,6.7989,81.4808,89.15,46,99,8.19,overcast clouds
212,Yei,SS,4.095,30.6779,65.62,93,80,2.26,broken clouds
213,Baiyin,CN,36.5583,104.2081,62.04,26,53,15.48,broken clouds
214,Bukene,TZ,-4.2333,32.8833,67.42,58,76,6.71,broken clouds
215,Saint-Philippe,RE,-21.3585,55.7679,69.22,74,55,11.56,broken clouds
216,Nuuk,GL,64.1835,-51.7216,36.21,87,20,5.75,few clouds
217,Moron,AR,-34.6534,-58.6198,62.35,85,51,4.94,broken clouds
218,Cienfuegos,CU,22.1461,-80.4356,73.54,88,50,2.3,scattered clouds
219,Severodvinsk,RU,64.5635,39.8302,39.31,94,40,3.87,scattered clouds
220,Camacha,PT,33.0833,-16.3333,65.62,73,20,8.05,few clouds
221,Kerema,PG,-7.9631,145.7785,84.09,75,100,11.16,overcast clouds
222,Nanortalik,GL,60.1432,-45.2371,39.43,78,100,2.33,overcast clouds
223,Fairbanks,US,64.8378,-147.7164,46.4,77,100,0.0,overcast clouds
224,Tilichiki,RU,60.4667,166.1,35.44,85,97,6.58,overcast clouds
225,Sarh,TD,9.1429,18.3923,72.05,93,95,4.23,overcast clouds
226,Bredasdorp,ZA,-34.5322,20.0403,50.32,90,20,4.14,few clouds
227,Poya,NC,-21.35,165.15,76.73,54,56,7.87,broken clouds
228,Kayerkan,RU,69.3497,87.7602,26.53,100,100,6.62,overcast clouds
229,Wakkanai,JP,45.4094,141.6739,60.78,63,75,13.8,broken clouds
230,Asau,RO,46.4333,26.4,63.52,67,100,11.59,overcast clouds
231,Taoudenni,ML,22.6783,-3.9836,86.25,26,78,8.01,broken clouds
232,Chimore,BO,-16.9833,-65.1333,69.76,69,32,3.09,scattered clouds
233,Cabatuan,PH,10.8794,122.486,87.08,68,97,10.16,overcast clouds
234,Filadelfia,US,39.9523,-75.1638,60.22,95,100,14.97,overcast clouds
235,Ayorou,NE,14.7308,0.9174,83.5,59,79,8.61,broken clouds
236,Rawson,AR,-43.3002,-65.1023,50.0,69,100,8.23,overcast clouds
237,Bol,TD,13.4586,14.7147,83.52,62,15,6.26,few clouds
238,Esperance,AU,-33.8667,121.9,60.64,70,100,19.3,overcast clouds
239,Ouesso,CG,1.6136,16.0517,68.45,98,100,1.99,overcast clouds
240,Kununurra,AU,-15.7667,128.7333,76.98,78,40,4.61,light rain
241,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,76,0,2.3,clear sky
242,Anadyr,RU,64.75,177.4833,41.5,65,20,4.47,few clouds
243,Clyde River,CA,70.4692,-68.5914,25.03,86,0,5.75,clear sky
244,Waingapu,ID,-9.6567,120.2641,86.81,62,76,9.37,broken clouds
245,Le Portel,FR,50.7056,1.5757,58.69,87,100,12.39,light rain
246,Bahia Blanca,AR,-38.7196,-62.2724,55.24,65,48,8.5,scattered clouds
247,Road Town,VG,18.4167,-64.6167,82.49,78,79,12.75,broken clouds
248,Kuching,MY,1.55,110.3333,79.02,94,40,2.3,scattered clouds
249,Sitka,US,57.0531,-135.33,51.69,71,20,4.61,few clouds
250,Tautira,PF,-17.7333,-149.15,77.58,71,82,8.97,broken clouds
251,Katsuura,JP,35.1333,140.3,77.23,57,67,11.01,broken clouds
252,Sistranda,NO,63.7256,8.834,48.16,81,100,6.69,light rain
253,Cockburn Town,TC,21.4612,-71.1419,82.99,79,94,17.98,overcast clouds
254,Pevek,RU,69.7008,170.3133,33.17,81,100,3.83,overcast clouds
255,Kita,ML,13.0349,-9.4895,73.22,84,97,1.63,overcast clouds
256,San Angelo,US,31.4638,-100.437,72.41,37,0,5.75,clear sky
257,Sobolevo,RU,54.4299,31.8996,42.49,96,84,2.33,broken clouds
258,Kilindoni,TZ,-7.9139,39.6668,74.08,76,5,4.56,light rain
259,Hamilton,US,39.1834,-84.5333,62.82,51,0,8.05,clear sky
260,Yumen,CN,40.2833,97.2,43.07,14,100,19.98,overcast clouds
261,Hasaki,JP,35.7333,140.8333,86.29,57,50,10.74,scattered clouds
262,Nelson Bay,AU,-32.7167,152.15,66.0,61,20,7.0,few clouds
263,Nantucket,US,41.2835,-70.0995,62.71,94,100,20.71,moderate rain
264,Ostrovnoy,RU,68.0531,39.5131,35.87,88,100,9.73,overcast clouds
265,Khatanga,RU,71.9667,102.5,22.95,96,100,10.92,overcast clouds
266,Oktyabrskoye,RU,43.0645,44.7417,46.54,93,60,6.71,broken clouds
