City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Port Hawkesbury,CA,2022-10-01 16:58:59,45.6169,-61.3485,68.92,61,0,10.36
202,Kautokeino,NO,2022-10-01 16:59:00,69.0125,23.0412,36.39,70,95,9.35
203,Saint-Augustin,CA,2022-10-01 16:59:00,51.226,-58.6502,51.87,34,30,15.64
204,Lompoc,US,2022-10-01 16:59:00,34.6391,-120.4579,67.57,93,51,3.24
205,Sterling,US,2022-10-01 16:59:01,39.0062,-77.4286,59.22,94,100,11.99
206,Salalah,OM,2022-10-01 16:54:40,17.0151,54.0924,78.33,86,29,4.34
207,San Jeronimo,PE,2022-10-01 16:59:01,-11.9472,-75.2829,56.82,52,83,3.89
208,Deneysville,ZA,2022-10-01 16:59:01,-26.8908,28.0971,75.9,19,3,6.89
209,Borogontsy,RU,2022-10-01 16:59:02,62.6683,131.1683,23.61,91,75,1.72
210,Saskylakh,RU,2022-10-01 16:59:02,71.9167,114.0833,31.8,98,100,7.58
211,La Ronge,CA,2022-10-01 16:59:02,55.1001,-105.2842,50.22,76,20,12.66
212,Chifeng,CN,2022-10-01 16:56:52,42.2683,118.9636,58.6,90,100,5.44
213,Saint Peter,BB,2022-10-01 16:59:03,13.25,-59.6167,82.8,73,100,11.99
214,Ahipara,NZ,2022-10-01 16:59:04,-35.1667,173.1667,58.28,96,86,7.14
215,Evensk,RU,2022-10-01 16:59:04,61.95,159.2333,28.06,87,85,8.21
216,Road Town,VG,2022-10-01 16:59:04,18.4167,-64.6167,86.04,79,40,9.22
217,Buckeye,US,2022-10-01 16:59:06,33.3703,-112.5838,89.65,43,0,6.91
218,Bubaque,GW,2022-10-01 16:59:06,11.2833,-15.8333,81.18,78,99,13.04
219,Mnogovershinnyy,RU,2022-10-01 16:59:06,53.9353,139.9242,28.15,73,9,5.32
220,Pachino,IT,2022-10-01 16:59:07,36.7186,15.0907,76.86,71,84,9.4
221,Padang,ID,2022-10-01 16:59:07,-0.9492,100.3543,73.45,90,100,2.57
222,Yonibana,SL,2022-10-01 16:59:07,8.4447,-12.245,80.58,88,74,3.02
223,Sabang,ID,2022-10-01 16:59:08,5.8933,95.3214,81.86,77,100,16.06
224,Sao Joao Da Barra,BR,2022-10-01 16:59:08,-21.6403,-41.0511,75.29,67,100,12.15
