City_ID,City,Country,Max Temp,Current Description,Lat,Long,Hotel Name
473,Maragogi,BR,73.0,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
474,Fez,MA,61.05,clear sky,34.0372,-4.9998,Hotel Mounia Fès
475,Manokwari,ID,84.47,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
479,Kiboga,UG,62.8,overcast clouds,0.9161,31.7742,Marie Lustenberger Guest House
480,Kokopo,PG,85.23,clear sky,-4.352,152.2633,Kokopo Beach Bungalow Resort
482,Zarand,IR,71.64,clear sky,30.8127,56.564,مهمانسرای فناپ
483,Mlonggo,ID,88.92,broken clouds,-6.5333,110.7,Asia Metal Art
484,Udalguri,IN,83.5,overcast clouds,26.7667,92.1333,Sapan House
486,Vila Franca Do Campo,PT,73.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
489,Kabo,CF,70.18,overcast clouds,7.6994,18.629, 
490,Tura,IN,75.47,light rain,25.5198,90.2201,Hotel RIKMAN Continental
492,Laguna,US,70.77,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
493,Betanzos,ES,61.45,fog,43.2804,-8.2147,Hotel Garelos Betanzos
495,Adre,TD,73.11,clear sky,13.4667,22.2, 
500,Kralendijk,BQ,84.18,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
502,Alto Araguaia,BR,76.59,overcast clouds,-17.3147,-53.2153,Araguaia Palace Hotel
503,Cacu,BR,75.87,scattered clouds,-18.5567,-51.1308,Império Hotel
504,Kathmandu,NP,75.42,scattered clouds,27.7167,85.3167,Hotel Shanker Kathmandu
506,Mogadishu,SO,78.67,scattered clouds,2.0371,45.3438,Hotel Juba
507,Morondava,MG,73.56,clear sky,-20.2833,44.2833,La Case Bambou
508,Buckeye,US,88.77,clear sky,33.3703,-112.5838,Buckeye Motor Hotel
509,Phan Thiet,VN,85.93,overcast clouds,10.9333,108.1,Hotel Saigon-PT
511,Bitung,ID,85.05,moderate rain,1.4451,125.1824,K2 Lembeh
512,Sampit,ID,89.22,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
516,Port Shepstone,ZA,66.45,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
517,Bowen,AU,77.47,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
518,Ishigaki,JP,87.93,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
519,Adrar,MR,77.05,clear sky,20.5022,-10.0711, 
521,Yenagoa,NG,73.92,moderate rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
524,Avera,US,67.51,scattered clouds,33.194,-82.5271, 
525,Bandarbeyla,SO,77.77,broken clouds,9.4942,50.8122,JABIR HOTEL
527,Touros,BR,75.78,few clouds,-5.1989,-35.4608,INN NEW HORIZON
528,San Juan,AR,69.46,clear sky,-31.5375,-68.5364,Hotel Provincial
533,Kaduqli,SD,71.8,clear sky,11.0167,29.7167,Nussyba
534,Namibe,AO,62.96,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
535,Santa Maria Del Oro,MX,62.83,overcast clouds,25.9333,-105.3667,Hotel Palacio Del Sol
536,Santa Vitoria,BR,75.65,few clouds,-18.8386,-50.1214,Center Hotel
537,Norsup,VU,83.03,few clouds,-16.0667,167.3833,Nabelchel Bungalows
